frame.number,frame.time,ip.src,ip.dst,tcp.port,frame.len
"273","Oct 22, 2017 12:46:49.211923000 CEST","93.184.220.29","192.168.1.142","80","854"
"274","Oct 22, 2017 12:46:49.212023000 CEST","192.168.1.142","93.184.220.29","35396","66"
"275","Oct 22, 2017 12:46:49.215366000 CEST","192.168.1.142","188.121.36.239","60288","496"
"276","Oct 22, 2017 12:46:49.225290000 CEST",,,"80","86"
"277","Oct 22, 2017 12:46:49.229299000 CEST","188.121.36.239","192.168.1.142","80","66"
"278","Oct 22, 2017 12:46:49.229904000 CEST","188.121.36.239","192.168.1.142","80","1506"
"279","Oct 22, 2017 12:46:49.229963000 CEST","192.168.1.142","188.121.36.239","60288","66"
"280","Oct 22, 2017 12:46:49.230150000 CEST","188.121.36.239","192.168.1.142","80","892"
"281","Oct 22, 2017 12:46:49.230190000 CEST","192.168.1.142","188.121.36.239","60288","66"
"282","Oct 22, 2017 12:46:49.230369000 CEST","188.121.36.239","192.168.1.142","80","66"
"283","Oct 22, 2017 12:46:49.271452000 CEST","192.168.1.142","188.121.36.239","60288","66"
"284","Oct 22, 2017 12:46:49.317667000 CEST",,,"50036","520"
"285","Oct 22, 2017 12:46:49.318818000 CEST",,,"58018","94"
"286","Oct 22, 2017 12:46:49.318925000 CEST",,,"58020","94"
"287","Oct 22, 2017 12:46:49.319031000 CEST","192.168.1.142","188.121.36.239","60294","74"
"288","Oct 22, 2017 12:46:49.319104000 CEST","192.168.1.142","188.121.36.239","60296","74"
"289","Oct 22, 2017 12:46:49.320730000 CEST","192.168.1.142","52.85.182.125","33936","74"
"290","Oct 22, 2017 12:46:49.322009000 CEST",,,"80","1506"
"291","Oct 22, 2017 12:46:49.322533000 CEST",,,"80","631"
"292","Oct 22, 2017 12:46:49.322679000 CEST",,,"50036","86"
"293","Oct 22, 2017 12:46:49.333317000 CEST","188.121.36.239","192.168.1.142","80","74"
"294","Oct 22, 2017 12:46:49.333422000 CEST","192.168.1.142","188.121.36.239","60296","66"
"295","Oct 22, 2017 12:46:49.333474000 CEST","188.121.36.239","192.168.1.142","80","74"
"296","Oct 22, 2017 12:46:49.333507000 CEST","192.168.1.142","188.121.36.239","60294","66"
"297","Oct 22, 2017 12:46:49.335673000 CEST","52.85.182.125","192.168.1.142","80","74"
"298","Oct 22, 2017 12:46:49.335755000 CEST","192.168.1.142","52.85.182.125","33936","66"
"299","Oct 22, 2017 12:46:49.363637000 CEST","192.168.1.142","188.121.36.239","60288","66"
"300","Oct 22, 2017 12:46:49.375541000 CEST","192.168.1.142","188.121.36.239","60296","497"
"301","Oct 22, 2017 12:46:49.380866000 CEST","188.121.36.239","192.168.1.142","80","66"
"302","Oct 22, 2017 12:46:49.385220000 CEST","192.168.1.142","52.85.182.125","33936","514"
"303","Oct 22, 2017 12:46:49.389783000 CEST","188.121.36.239","192.168.1.142","80","66"
"304","Oct 22, 2017 12:46:49.390716000 CEST","188.121.36.239","192.168.1.142","80","1506"
"305","Oct 22, 2017 12:46:49.390777000 CEST","192.168.1.142","188.121.36.239","60296","66"
"306","Oct 22, 2017 12:46:49.390921000 CEST","188.121.36.239","192.168.1.142","80","893"
"307","Oct 22, 2017 12:46:49.390951000 CEST","192.168.1.142","188.121.36.239","60296","66"
"308","Oct 22, 2017 12:46:49.391388000 CEST","188.121.36.239","192.168.1.142","80","66"
"309","Oct 22, 2017 12:46:49.398265000 CEST","52.85.182.125","192.168.1.142","80","66"
"310","Oct 22, 2017 12:46:49.406051000 CEST",,,"80","94"
"311","Oct 22, 2017 12:46:49.406165000 CEST",,,"58018","86"
"312","Oct 22, 2017 12:46:49.408747000 CEST",,,"80","94"
"313","Oct 22, 2017 12:46:49.408832000 CEST",,,"58020","86"
"314","Oct 22, 2017 12:46:49.423919000 CEST","192.168.1.142","188.121.36.239","60296","66"
"315","Oct 22, 2017 12:46:49.424708000 CEST","192.168.1.142","2.16.100.137","48012","74"
"316","Oct 22, 2017 12:46:49.424833000 CEST","192.168.1.142","2.16.100.137","48014","74"
"317","Oct 22, 2017 12:46:49.428391000 CEST","2.16.100.137","192.168.1.142","80","74"
"318","Oct 22, 2017 12:46:49.428625000 CEST","192.168.1.142","2.16.100.137","48014","66"
"319","Oct 22, 2017 12:46:49.428722000 CEST","2.16.100.137","192.168.1.142","80","74"
"320","Oct 22, 2017 12:46:49.428771000 CEST","192.168.1.142","2.16.100.137","48012","66"
"321","Oct 22, 2017 12:46:49.437589000 CEST","188.121.36.239","192.168.1.142","80","66"
"322","Oct 22, 2017 12:46:49.441894000 CEST",,,"58018","525"
"323","Oct 22, 2017 12:46:49.465604000 CEST","192.168.1.142","2.16.100.137","48014","509"
"324","Oct 22, 2017 12:46:49.465749000 CEST","192.168.1.142","2.16.100.137","48012","509"
"325","Oct 22, 2017 12:46:49.478793000 CEST","2.16.100.137","192.168.1.142","80","66"
"326","Oct 22, 2017 12:46:49.478977000 CEST","2.16.100.137","192.168.1.142","80","66"
"327","Oct 22, 2017 12:46:49.479447000 CEST","2.16.100.137","192.168.1.142","80","861"
"328","Oct 22, 2017 12:46:49.479512000 CEST","192.168.1.142","2.16.100.137","48014","66"
"329","Oct 22, 2017 12:46:49.479648000 CEST","2.16.100.137","192.168.1.142","80","861"
"330","Oct 22, 2017 12:46:49.479687000 CEST","192.168.1.142","2.16.100.137","48012","66"
"331","Oct 22, 2017 12:46:49.497668000 CEST","52.85.182.125","192.168.1.142","80","1037"
"332","Oct 22, 2017 12:46:49.497755000 CEST","192.168.1.142","52.85.182.125","33936","66"
"333","Oct 22, 2017 12:46:49.530821000 CEST",,,"80","86"
"334","Oct 22, 2017 12:46:49.531463000 CEST",,,"80","945"
"335","Oct 22, 2017 12:46:49.531536000 CEST",,,"58018","86"
"336","Oct 22, 2017 12:46:49.531706000 CEST",,,"80","86"
"337","Oct 22, 2017 12:46:49.566116000 CEST",,,"58018","86"
"338","Oct 22, 2017 12:46:49.656772000 CEST",,,"80","86"
